domain,personal_count,personal_percentage
gmail.com,3656,39.40929179691711
yahoo.com,2455,26.46329632424275
hotmail.com,1431,15.425245230139053
aol.com,677,7.29761776436348
bellsouth.net,276,2.975099708957637
comcast.net,139,1.4983292012504041
live.com,109,1.174948798102835
msn.com,107,1.1533901045596637
att.net,83,0.8946857820416083
ymail.com,66,0.7114368869246523
icloud.com,51,0.5497466853508677
yahoo.es,42,0.4527325644065969
outlook.com,35,0.3772771370054975
me.com,29,0.3126010563759836
mac.com,26,0.2802630160612267
rocketmail.com,16,0.17246954834537026
verizon.net,10,0.10779346771585642
sbcglobal.net,10,0.10779346771585642
aim.com,7,0.07545542740109949
yahoo.fr,5,0.05389673385792821
mail.com,5,0.05389673385792821
juno.com,5,0.05389673385792821
earthlink.net,3,0.03233804031475693
charter.net,3,0.03233804031475693
cs.com,3,0.03233804031475693
flash.net,2,0.021558693543171283
netzero.net,2,0.021558693543171283
yahoo.com.ar,2,0.021558693543171283
cox.net,2,0.021558693543171283
googlemail.com,1,0.010779346771585641
roadrunner.com,1,0.010779346771585641
myway.com,1,0.010779346771585641
outlook.fr,1,0.010779346771585641
peoplepc.com,1,0.010779346771585641
yahoo.com.br,1,0.010779346771585641
hellokitty.com,1,0.010779346771585641
cableone.net,1,0.010779346771585641
yahoo.co.uk,1,0.010779346771585641
popchick.com,1,0.010779346771585641
mail2hell.com,1,0.010779346771585641
telus.net,1,0.010779346771585641
proton.me,1,0.010779346771585641
yahoo.com.mx,1,0.010779346771585641
sbcglobai.net,1,0.010779346771585641
gmx.net,1,0.010779346771585641
centurytel.net,1,0.010779346771585641
rock.com,1,0.010779346771585641
epix.net,1,0.010779346771585641
hotmail.it,1,0.010779346771585641
